"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"105","LTU","Lithuania","Europe","Europe & Central Asia",75.99383,11620,2.67622,2827.721,10.71,7.39919,64.3,68,50.762,0.875,16.28506088,13.49810028
"106","LUX","Luxembourg","Europe","Europe & Central Asia",82.41467,76820,2.2781,599.449,10.02,0.50831,42.6,92,30.073,0.93,14.39813995,13.01519217
"107","LVA","Latvia","Europe","Europe & Central Asia",75.37604,11850,3.44368,1940.74,12.33,2.85761,54.9,74,34.047,0.863,16.20252991,13.25271988
"108","MAR","Morocco","Africa","Middle East & North Africa",72.98804,2850,16.01691,35739.58,28.38,0.94877,10,55,7.308,0.683,14.15190983,5.916
"109","MDA","Republic of Moldova","Europe","Europe & Central Asia",73.26277,1820,12.45766,3549.75,13.55,2.53301,56.605,43.37,31.026,0.767,14.43299961,11.82159042
"110","MDG","Madagascar","Africa","Sub-Saharan Africa",65.34995,430,36.26078,25570.895,17.5,9.78488,2,2.0549,1.991,0.501,10.13499142,5.120468534
"111","MDV","Maldives","Asia","South Asia",79.59427,6150,5.52502,436.33,10.97,1.02576,43,38.9301,20.527,0.747,12.63560963,7.322
"112","MEX","Mexico","Americas","Latin America & Caribbean",76.01043,8930,11.77118,129163.276,22.73,5.76687,9.8,38.42,24.253,0.758,14.86443996,9.221050262
"113","MHL","Marshall Islands","Oceania","East Asia & Pacific",NA,3640,25.52419,53.127,10.2,NA,NA,10,4.233,0.639,10.2393198,10.88313961
"114","MKD","North Macedonia","Europe","Europe & Central Asia",74.8186,4600,5.19796,2083.16,29.59,0.78043,42.801,63.1477,28.736,0.77,13.62443234,10.22815037
"115","MLI","Mali","Africa","Sub-Saharan Africa",62.79813,600,58.77063,18541.98,63.64,10.65639,1,2.1689,1.286,0.428,7.423037617,2.31
"116","MLT","Malta","Europe","Middle East & North Africa",81.89443,18620,5.63185,465.292,13.14,1.28866,44.851,70,28.598,0.918,16.83856964,12.21026039
"117","MMR","Myanmar","Asia","East Asia & Pacific",69.1335,NA,35.03594,53370.609,33.15,2.42109,10.44,1.0691,7.369,0.585,10.90913752,6.37680006
"118","MNE","Montenegro","Europe","Europe & Central Asia",75.87666,6740,1.9533,622.471,20.39,2.7897,38.61,NA,27.4,0.832,15.08160973,12.17648306
"119","MNG","Mongolia","Asia","East Asia & Pacific",68.09768,1870,13.22047,3075.647,42.79,1.68659,80,16.4,38.518,0.739,14.98034954,9.423700333
"120","MOZ","Mozambique","Africa","Sub-Saharan Africa",58.13618,440,52.77203,29668.834,21.22,5.85158,7,4.8491,0.85,0.446,10.2191516,3.197641838
"121","MRT","Mauritania","Africa","Sub-Saharan Africa",68.37999,1000,49.02848,4420.184,74.13,10.85748,4,5.3691,1.865,0.556,9.376159668,4.918804891
"122","MUS","Mauritius","Africa","Sub-Saharan Africa",74.07175,7780,14.79668,1264.613,10.52,1.14317,34,41.3946,27.127,0.802,15.17352977,10.42791048
"123","MWI","Malawi","Africa","Sub-Saharan Africa",65.62458,330,29.02061,18622.104,25.62,0.93754,13,4.3506,0.501,0.512,12.67898523,4.489695385
